From Previous Course ID,To Current Course ID,Count
INFO-I520,INFO-I533,10
INFO-I520,INFO-I535,3
INFO-I520,CSCI-B505,3
INFO-I520,STAT-S520,4
INFO-I520,INFO-I699,3
INFO-I520,INFO-I709,3
INFO-I520,ENGR-E583,3
ILS-Z501,ILS-Z515,13
ILS-Z501,ILS-Z516,16
ILS-Z501,ILS-Z503,18
ILS-Z501,ILS-Z525,8
ILS-Z501,ILS-Z550,114
ILS-Z501,ILS-Z603,24
ILS-Z501,ILS-Z502,7
ILS-Z501,ILS-Z505,8
ILS-Z501,ILS-Z652,28
ILS-Z501,ILS-Z556,7
ILS-Z501,ILS-Z604,54
ILS-Z501,ILS-Z605,77
ILS-Z501,ILS-Z634,33
ILS-Z501,ILS-Z572,15
ILS-Z501,ILS-Z532,19
ILS-Z501,ILS-Z571,10
ILS-Z501,ILS-Z640,6
ILS-Z501,ILS-Z672,4
ILS-Z501,ILS-Z580,6
ILS-Z501,ILS-Z511,32
ILS-Z501,ILS-Z583,19
ILS-Z501,ILS-Z584,19
ILS-Z501,ILS-Z586,26
ILS-Z501,ILS-Z680,16
ILS-Z501,ILS-Z519,3
ILS-Z501,ILS-Z657,24
ILS-Z501,ILS-Z683,26
ILS-Z501,ILS-Z585,4
ILS-Z501,ILS-Z544,5
ILS-Z501,ILS-Z601,15
ILS-Z501,ILS-Z504,34
ILS-Z501,ILS-Z655,14
ILS-Z501,ILS-Z510,6
ILS-Z501,ILS-Z534,10
ILS-Z501,ILS-Z581,14
ILS-Z501,ILS-Z573,19
ILS-Z501,ILS-Z517,7
ILS-Z501,ILS-Z602,8
ILS-Z501,ILS-Z685,6
ILS-Z501,ILS-Z513,10
ILS-Z501,ILS-Z681,26
ILS-Z501,ILS-Z684,10
ILS-Z501,ILS-Z543,4
ILS-Z501,ILS-Z639,6
ILS-Z501,ILS-Z542,3
ILS-Z501,ILS-Z636,5
ILS-Z501,ILS-Z555,3
ILS-Z501,ILS-Z651,7
ILS-Z511,ILS-Z515,21
ILS-Z511,ILS-Z516,20
ILS-Z511,ILS-Z503,4
ILS-Z511,ILS-Z525,9
ILS-Z511,ILS-Z550,21
ILS-Z511,ILS-Z603,16
ILS-Z511,ILS-Z652,10
ILS-Z511,ILS-Z556,25
ILS-Z511,ILS-Z604,26
ILS-Z511,ILS-Z605,32
ILS-Z511,ILS-Z634,12
ILS-Z511,ILS-Z680,6
ILS-Z511,ILS-Z519,8
ILS-Z511,ILS-Z657,7
ILS-Z511,STAT-S520,11
ILS-Z511,ILS-Z517,15
ILS-Z511,ILS-Z543,4
ILS-Z511,ILS-Z532,24
ILS-Z511,ILS-Z534,19
ILS-Z511,ILS-Z639,20
ILS-Z511,INFO-I535,3
ILS-Z511,ILS-Z602,8
ILS-Z511,ILS-Z510,5
ILS-Z511,ILS-Z601,6
ILS-Z511,ILS-Z642,4
ILS-Z511,ILS-Z586,4
ILS-Z511,ENGR-E583,3
ILS-Z511,ILS-Z513,10
ILS-Z511,ILS-Z542,4
ILS-Z511,ILS-Z555,4
ILS-Z511,ILS-Z504,10
ILS-Z511,ILS-Z690,3
ILS-Z511,ILS-Z580,5
ILS-Z511,ILS-Z544,5
ILS-Z511,ILS-Z640,3
ILS-Z511,ILS-Z636,6
ILS-Z511,CSCI-B555,12
ILS-Z511,CSCI-B565,6
ILS-Z511,STAT-S670,7
ILS-Z511,ENGR-E516,3
ILS-Z511,ILS-Z573,4
ILS-Z511,ILS-Z681,4
ILS-Z511,CSCI-B649,14
ILS-Z511,ILS-Z514,3
ILS-Z511,CSCI-B547,13
ILS-Z511,CSCI-B544,5
ILS-Z511,CSCI-P565,4
ILS-Z511,CSCI-B546,13
ILS-Z511,CSCI-Y798,20
ILS-Z511,INFO-I699,3
ILS-Z511,CSCI-Y799,20
ILS-Z511,STAT-S675,5
ILS-Z511,ENGR-E599,7
ILS-Z511,CSCI-P538,4
ILS-Z511,CSCI-B551,13
ILS-Z511,CSCI-B510,3
ILS-Z511,INFO-I591,7
ILS-Z511,INFO-I523,6
ILS-Z511,CSCI-B659,14
ILS-Z511,CSCI-P632,5
ILS-Z511,CSCI-B505,8
ILS-Z511,ILS-Z655,3
ILS-Z511,CSCI-P556,9
ILS-Z511,ENGR-E533,6
