CourseID,Course Name
CSCI-A110,INTRODUCTION TO COMPUTERS AND COMPUTING
CSCI-A201,INTRODUCTION TO PROGRAMMING I
CSCI-A202,INTRODUCTION TO PROGRAMMING II
CSCI-A216,DIGITAL MULTIMEDIA CONCEPTS AND TECHNOLOGIES
CSCI-A321,COMPUTING TOOLS FOR SCIENTIFIC RESEARCH
CSCI-A338,NETWORK TECHNOLOGIES AND SYSTEMS ADMINISTRATION
CSCI-A348,MASTERING THE WORLD WIDE WEB
CSCI-A521,COMPUTING TOOLS FOR SCIENTIFIC RESEARCH
CSCI-A538,NETWORK TECHNOLOGIES AND SYSTEMS ADMINISTRATION
CSCI-A541,COMPUTING AND TECHNOLOGY BOOTCAMP
CSCI-A542,TECHNICAL FOUNDATIONS OF CYBERSECURITY
CSCI-A548,MASTERING THE WORLDWIDE WEB
CSCI-A590,TOPICS IN PROGRAMMING
CSCI-A591,INTRODUCTION TO COMPUTER SCIENCE
CSCI-A592,INTRODUCTION TO SOFTWARE SYSTEMS
CSCI-A593,COMPUTER STRUCTURES
CSCI-A594,DATA STRUCTURES
CSCI-A596,PROGRAMMING LANGUAGES
CSCI-A597,INTRODUCTION TO PROGRAMMING I
CSCI-B351,INTRODUCTION TO ARTIFICIAL INTELLIGENCE
CSCI-B355,AUTONOMOUS ROBOTICS
CSCI-B363,BIOINFORMATICS ALGORITHMS
CSCI-B365,INTRODUCTION TO DATA ANALYSIS AND MINING
CSCI-B392,COMPETITIVE PROGRAMMING
CSCI-B401,FUNDAMENTALS OF COMPUTING THEORY
CSCI-B403,INTRODUCTION TO ALGORITHM DESIGN AND ANALYSIS
CSCI-B430,SECURITY FOR NETWORKED SYSTEMS
CSCI-B433,SYSTEMS & PROTOCOL SECURITY & INFORMATION ASSURANCE
CSCI-B441,DIGITAL DESIGN
CSCI-B443,INTRODUCTION TO COMPUTER ARCHITECTURE
CSCI-B453,GAME DEVELOPMENT
CSCI-B455,PRINCIPLES OF MACHINE LEARNING
CSCI-B456,IMAGE PROCESSING
CSCI-B461,DATABASE CONCEPTS
