From KnowledgeID,To CourseID
Know_1,CSCI-A110
Know_2,CSCI-A110
Know_2,CSCI-A201
Know_3,CSCI-A202
Know_4,CSCI-A202
Know_5,CSCI-A202
Know_6,CSCI-A202
Know_7,CSCI-A202
Know_8,CSCI-A216
Know_9,CSCI-A321
Know_10,CSCI-A321
Know_11,CSCI-A321
Know_12,CSCI-A321
Know_13,CSCI-A321
Know_14,CSCI-A338
Know_15,CSCI-A348
Know_6,CSCI-A348
Know_16,CSCI-A348
Know_17,CSCI-A348
Know_14,CSCI-A348
Know_9,CSCI-A521
Know_10,CSCI-A521
Know_11,CSCI-A521
Know_12,CSCI-A521
Know_13,CSCI-A521
Know_18,CSCI-A538
Know_14,CSCI-A538
Know_19,CSCI-A541
Know_20,CSCI-A541
Know_21,CSCI-A542
Know_22,CSCI-A542
Know_23,CSCI-A542
Know_24,CSCI-A542
Know_25,CSCI-A542
Know_26,CSCI-A548
Know_6,CSCI-A548
Know_16,CSCI-A548
Know_14,CSCI-A548
Know_1,CSCI-A590
Know_27,CSCI-A590
Know_2,CSCI-A591
Know_3,CSCI-A591
Know_13,CSCI-A592
Know_7,CSCI-A592
Know_29,CSCI-A592
Know_28,CSCI-A593
Know_29,CSCI-A594
Know_2,CSCI-A596
Know_2,CSCI-A597
Know_30,CSCI-B351
Know_31,CSCI-B351
Know_32,CSCI-B351
Know_33,CSCI-B355
Know_34,CSCI-B363
Know_11,CSCI-B365
Know_35,CSCI-B365
Know_36,CSCI-B365
Know_37,CSCI-B365
Know_12,CSCI-B365
Know_3,CSCI-B392
Know_38,CSCI-B401
Know_3,CSCI-B403
Know_21,CSCI-B430
Know_23,CSCI-B430
Know_39,CSCI-B433
Know_40,CSCI-B433
Know_41,CSCI-B441
Know_42,CSCI-B441
Know_43,CSCI-B443
Know_44,CSCI-B453
Know_45,CSCI-B453
Know_3,CSCI-B455
Know_46,CSCI-B455
Know_32,CSCI-B455
Know_32,CSCI-B456
Know_32,CSCI-B456
Know_47,CSCI-B461
Know_48,CSCI-B461
Know_32,CSCI-B461
Know_49,CSCI-B481
Know_47,CSCI-B481
Know_48,CSCI-B501
Know_3,CSCI-B503
Know_23,CSCI-B504
Know_50,CSCI-B504
Know_29,CSCI-B505
Know_3,CSCI-B505
Know_2,CSCI-B521
Know_2,CSCI-B522
Know_51,CSCI-B534
Know_21,CSCI-B544
Know_40,CSCI-B544
Know_25,CSCI-B546
Know_40,CSCI-B546
Know_21,CSCI-B546
Know_40,CSCI-B547
Know_52,CSCI-B547
Know_32,CSCI-B551
Know_53,CSCI-B551
Know_30,CSCI-B551
Know_46,CSCI-B555
Know_31,CSCI-B555
Know_47,CSCI-B555
Know_54,CSCI-B555
Know_55,CSCI-B555
Know_56,CSCI-B561
Know_57,CSCI-B561
Know_58,CSCI-B565
Know_36,CSCI-B565
Know_59,CSCI-B565
Know_60,CSCI-B581
Know_61,CSCI-B581
Know_62,CSCI-B599
Know_3,CSCI-B609
Know_63,CSCI-B657
Know_64,CSCI-B657
Know_65,CSCI-B659
Know_66,CSCI-B659
Know_30,CSCI-B659
Know_67,CSCI-C102
Know_2,CSCI-C200
Know_3,CSCI-C211
Know_68,CSCI-C212
Know_7,CSCI-C212
Know_1,CSCI-C212
Know_69,CSCI-C231
Know_3,CSCI-C231
Know_25,CSCI-C231
Know_69,CSCI-C241
Know_70,CSCI-C291
Know_10,CSCI-C291
Know_71,CSCI-C291
Know_72,CSCI-C291
Know_44,CSCI-C292
Know_73,CSCI-C292
Know_45,CSCI-C292
Know_2,CSCI-C295
Know_74,CSCI-C295
Know_2,CSCI-C311
Know_7,CSCI-C322
Know_75,CSCI-C323
Know_28,CSCI-C335
Know_29,CSCI-C343
Know_2,CSCI-H200
Know_3,CSCI-H211
Know_68,CSCI-H212
Know_7,CSCI-H212
Know_1,CSCI-H212
Know_69,CSCI-H241
Know_28,CSCI-H335
Know_29,CSCI-H343
