From Previous KnowledgeID,To Current KnowledgeID,Count
Know_29,Know_32,585
Know_7,Know_32,561
Know_69,Know_32,550
Know_1,Know_32,525
Know_1,Know_29,498
Know_68,Know_32,491
Know_69,Know_29,485
Know_3,Know_1,481
Know_7,Know_29,471
Know_68,Know_29,453
Know_11,Know_32,449
Know_11,Know_3,446
Know_3,Know_32,440
Know_3,Know_7,437
Know_25,Know_21,426
Know_29,Know_3,420
Know_2,Know_1,413
Know_3,Know_35,412
Know_308,Know_35,407
Know_3,Know_30,406
Know_1,Know_3,397
Know_3,Know_47,384
Know_7,Know_3,376
Know_1,Know_69,371
Know_31,Know_3,361
Know_11,Know_35,356
Know_2,Know_7,355
Know_3,Know_69,353
Know_3,Know_68,351
Know_3,Know_11,344
Know_29,Know_35,342
Know_337,Know_35,341
Know_336,Know_35,341
Know_3,Know_31,338
Know_7,Know_11,334
Know_69,Know_11,330
Know_1,Know_11,329
Know_25,Know_14,327
Know_29,Know_30,326
Know_69,Know_3,325
Know_68,Know_3,325
Know_32,Know_11,322
Know_7,Know_69,317
Know_29,Know_47,315
Know_3,Know_48,311
Know_25,Know_40,308
Know_2,Know_69,307
Know_68,Know_69,305
Know_29,Know_31,303
Know_11,Know_47,301
Know_29,Know_11,299
Know_68,Know_11,297
Know_31,Know_32,295
Know_1,Know_30,294
Know_35,Know_32,294
Know_30,Know_3,285
Know_3,Know_36,284
Know_32,Know_3,283
Know_2,Know_68,282
Know_1,Know_31,281
Know_3,Know_12,279
Know_1,Know_25,278
Know_2,Know_32,277
Know_3,Know_40,276
Know_14,Know_25,276
Know_1,Know_252,275
Know_31,Know_35,273
Know_249,Know_285,272
Know_249,Know_283,272
Know_50,Know_40,270
Know_11,Know_48,270
Know_7,Know_30,268
Know_7,Know_31,268
Know_308,Know_3,267
Know_35,Know_3,263
Know_47,Know_3,261
Know_1,Know_35,260
Know_7,Know_12,259
Know_50,Know_21,258
Know_7,Know_35,255
Know_7,Know_36,254
Know_11,Know_31,254
Know_1,Know_12,254
Know_21,Know_25,253
Know_69,Know_12,251
Know_308,Know_32,251
Know_2,Know_3,250
Know_29,Know_48,250
Know_69,Know_35,249
Know_1,Know_36,249
Know_7,Know_37,249
Know_69,Know_36,248
Know_36,Know_32,248
Know_68,Know_31,246
Know_69,Know_31,246
Know_68,Know_30,245
Know_69,Know_30,245
Know_29,Know_12,245
Know_69,Know_37,243
Know_31,Know_11,242
Know_3,Know_29,241
Know_25,Know_1,241
Know_30,Know_11,240
Know_1,Know_37,240
Know_3,Know_51,239
Know_50,Know_14,238
Know_30,Know_32,236
Know_32,Know_35,235
Know_29,Know_36,235
Know_47,Know_35,234
Know_25,Know_252,233
Know_69,Know_40,233
Know_68,Know_12,232
Know_308,Know_47,231
Know_3,Know_65,230
Know_68,Know_35,230
Know_3,Know_66,230
Know_3,Know_23,229
Know_68,Know_36,229
Know_12,Know_32,227
Know_68,Know_37,223
Know_12,Know_3,222
Know_3,Know_37,221
Know_32,Know_12,217
Know_32,Know_36,215
Know_36,Know_3,213
Know_69,Know_21,212
Know_29,Know_46,211
Know_3,Know_2,210
Know_3,Know_21,210
Know_308,Know_31,209
Know_11,Know_46,209
Know_47,Know_30,208
Know_37,Know_32,207
Know_50,Know_25,207
Know_308,Know_48,207
Know_11,Know_30,206
Know_249,Know_286,198
Know_37,Know_3,197
Know_3,Know_25,197
Know_31,Know_12,196
Know_1,Know_40,195
Know_32,Know_37,193
Know_29,Know_37,192
Know_31,Know_36,190
Know_2,Know_11,190
Know_283,Know_287,189
Know_3,Know_64,188
Know_46,Know_3,188
Know_2,Know_25,187
Know_47,Know_65,186
Know_47,Know_66,186
Know_25,Know_23,184
Know_1,Know_14,182
Know_3,Know_14,182
Know_69,Know_14,182
Know_1,Know_228,181
Know_1,Know_229,181
Know_1,Know_227,181
Know_32,Know_38,180
Know_11,Know_29,180
Know_3,Know_61,179
Know_14,Know_69,178
Know_50,Know_69,177
Know_47,Know_61,175
Know_249,Know_287,175
Know_31,Know_61,174
Know_48,Know_3,173
Know_30,Know_35,172
Know_11,Know_61,172
Know_3,Know_63,171
Know_336,Know_31,170
Know_337,Know_31,170
Know_1,Know_46,170
Know_50,Know_1,169
Know_69,Know_28,168
Know_1,Know_21,168
Know_337,Know_47,168
Know_336,Know_47,168
Know_69,Know_89,167
Know_283,Know_286,166
Know_308,Know_36,166
Know_11,Know_64,166
Know_35,Know_47,165
Know_46,Know_35,164
Know_3,Know_308,164
Know_7,Know_89,164
Know_69,Know_46,164
Know_3,Know_86,163
Know_21,Know_40,163
Know_2,Know_29,163
Know_32,Know_308,162
Know_29,Know_38,162
Know_31,Know_29,162
Know_40,Know_69,162
Know_308,Know_30,161
Know_29,Know_40,161
Know_29,Know_51,160
Know_21,Know_69,159
Know_308,Know_12,158
Know_47,Know_32,158
Know_301,Know_3,157
Know_7,Know_25,157
Know_11,Know_161,156
Know_11,Know_162,156
Know_69,Know_38,156
Know_48,Know_61,155
Know_1,Know_89,155
Know_301,Know_32,155
Know_308,Know_61,154
Know_69,Know_23,153
Know_40,Know_25,153
Know_7,Know_47,153
Know_47,Know_161,152
Know_47,Know_162,152
Know_217,Know_40,152
Know_35,Know_61,151
Know_7,Know_46,151
Know_30,Know_36,150
Know_29,Know_28,150
Know_69,Know_75,150
Know_7,Know_75,150
Know_336,Know_48,150
Know_337,Know_48,150
Know_48,Know_35,149
Know_31,Know_161,149
Know_2,Know_31,149
Know_31,Know_162,149
Know_25,Know_8,149
Know_31,Know_47,149
Know_1,Know_2,148
Know_32,Know_75,148
Know_7,Know_38,148
Know_68,Know_89,148
Know_308,Know_29,148
Know_14,Know_252,147
Know_1,Know_75,147
Know_337,Know_61,146
Know_336,Know_61,146
Know_308,Know_161,146
Know_7,Know_28,146
Know_308,Know_162,146
Know_69,Know_25,146
Know_7,Know_48,146
Know_1,Know_47,146
Know_8,Know_252,145
Know_2,Know_35,144
Know_69,Know_47,144
Know_46,Know_30,143
Know_30,Know_12,143
Know_3,Know_89,143
Know_14,Know_217,143
Know_31,Know_48,143
Know_31,Know_37,143
Know_35,Know_161,142
Know_337,Know_161,142
Know_336,Know_161,142
Know_337,Know_162,142
Know_336,Know_162,142
Know_35,Know_162,142
Know_30,Know_46,142
Know_68,Know_25,142
Know_50,Know_217,141
Know_2,Know_30,140
Know_3,Know_38,140
Know_47,Know_64,139
Know_29,Know_308,138
Know_3,Know_161,137
Know_3,Know_162,137
Know_31,Know_30,136
Know_31,Know_65,136
Know_50,Know_252,136
Know_31,Know_66,136
Know_40,Know_217,136
Know_69,Know_48,136
Know_2,Know_36,135
Know_336,Know_64,135
Know_337,Know_64,135
Know_89,Know_32,135
Know_48,Know_32,135
Know_29,Know_23,134
Know_48,Know_161,134
Know_308,Know_64,134
Know_48,Know_162,134
Know_14,Know_40,134
Know_21,Know_217,134
Know_46,Know_32,134
Know_1,Know_48,134
Know_25,Know_223,133
Know_29,Know_65,133
Know_1,Know_28,133
Know_25,Know_222,133
Know_29,Know_66,133
Know_30,Know_37,133
Know_11,Know_65,132
Know_219,Know_252,132
Know_69,Know_252,132
Know_11,Know_66,132
Know_2,Know_12,132
Know_68,Know_46,132
Know_3,Know_46,132
Know_29,Know_25,132
Know_30,Know_47,132
Know_3,Know_28,131
Know_31,Know_308,131
Know_3,Know_75,131
Know_2,Know_14,131
Know_14,Know_1,131
Know_35,Know_30,130
Know_282,Know_285,130
Know_137,Know_285,130
Know_280,Know_285,130
Know_284,Know_285,130
Know_281,Know_285,130
Know_1,Know_23,130
Know_11,Know_63,130
Know_284,Know_283,130
Know_281,Know_283,130
Know_280,Know_283,130
Know_137,Know_283,130
Know_282,Know_283,130
Know_1,Know_301,129
Know_68,Know_28,129
Know_2,Know_252,129
Know_68,Know_75,129
Know_1,Know_38,129
Know_217,Know_21,129
Know_3,Know_56,128
Know_31,Know_64,128
Know_7,Know_14,128
Know_46,Know_48,128
Know_3,Know_57,128
Know_47,Know_63,127
Know_23,Know_40,127
Know_47,Know_29,127
Know_25,Know_219,126
Know_46,Know_65,126
Know_46,Know_66,126
Know_2,Know_46,126
Know_283,Know_249,126
Know_2,Know_37,126
Know_25,Know_244,125
Know_32,Know_34,125
Know_47,Know_48,125
Know_32,Know_301,124
Know_68,Know_38,124
Know_38,Know_32,124
Know_308,Know_65,123
Know_7,Know_2,123
Know_69,Know_2,123
Know_336,Know_3,123
Know_337,Know_3,123
Know_308,Know_66,123
Know_11,Know_104,123
Know_69,Know_308,122
Know_35,Know_46,122
Know_3,Know_54,121
Know_3,Know_55,121
Know_46,Know_61,121
Know_48,Know_30,120
Know_47,Know_184,120
Know_308,Know_104,120
Know_48,Know_47,120
Know_29,Know_64,119
Know_308,Know_46,119
Know_69,Know_7,119
Know_69,Know_1,119
Know_40,Know_23,118
Know_3,Know_301,118
Know_3,Know_34,118
Know_11,Know_137,118
Know_7,Know_301,117
Know_308,Know_63,117
Know_308,Know_137,117
Know_40,Know_1,117
Know_69,Know_301,116
Know_7,Know_308,116
Know_31,Know_46,116
Know_285,Know_287,116
Know_288,Know_287,116
Know_68,Know_47,116
Know_55,Know_30,115
Know_54,Know_30,115
Know_55,Know_65,115
Know_54,Know_65,115
Know_47,Know_183,115
Know_21,Know_245,115
Know_47,Know_196,115
Know_54,Know_66,115
Know_55,Know_66,115
Know_29,Know_2,114
Know_31,Know_63,114
Know_2,Know_40,114
Know_94,Know_92,114
Know_337,Know_30,113
Know_336,Know_30,113
Know_336,Know_65,113
Know_337,Know_65,113
Know_11,Know_36,113
Know_89,Know_3,113
Know_337,Know_66,113
Know_336,Know_66,113
Know_11,Know_38,113
Know_308,Know_209,113
Know_11,Know_209,113
Know_337,Know_209,113
Know_336,Know_209,113
Know_337,Know_208,113
Know_336,Know_208,113
Know_11,Know_208,113
Know_308,Know_208,113
Know_35,Know_48,113
Know_36,Know_47,113
Know_47,Know_277,112
Know_29,Know_61,112
Know_40,Know_252,112
Know_1,Know_308,112
Know_47,Know_276,112
Know_48,Know_64,112
Know_337,Know_32,112
Know_336,Know_32,112
Know_47,Know_275,112
Know_55,Know_35,111
Know_54,Know_35,111
Know_308,Know_327,111
Know_35,Know_308,111
Know_2,Know_8,111
Know_308,Know_328,111
Know_337,Know_104,111
Know_336,Know_104,111
Know_29,Know_21,111
Know_95,Know_92,111
Know_29,Know_14,111
Know_21,Know_1,111
Know_25,Know_228,110
Know_69,Know_245,110
Know_54,Know_61,110
Know_55,Know_61,110
Know_29,Know_63,110
Know_25,Know_229,110
Know_36,Know_46,110
Know_25,Know_227,110
Know_30,Know_48,110
Know_68,Know_48,110
Know_32,Know_2,109
Know_11,Know_327,109
Know_21,Know_252,109
Know_32,Know_89,109
Know_29,Know_89,109
Know_11,Know_328,109
Know_12,Know_46,109
Know_28,Know_32,108
Know_29,Know_75,107
Know_337,Know_63,107
Know_336,Know_63,107
Know_38,Know_3,107
Know_336,Know_29,107
Know_337,Know_29,107
Know_11,Know_226,107
Know_11,Know_183,106
Know_31,Know_183,106
Know_11,Know_277,106
Know_31,Know_277,106
Know_31,Know_276,106
Know_11,Know_276,106
Know_11,Know_12,106
Know_11,Know_275,106
Know_31,Know_275,106
Know_2,Know_47,106
Know_47,Know_36,105
Know_47,Know_11,105
Know_35,Know_11,105
Know_46,Know_64,105
Know_48,Know_63,105
Know_68,Know_14,105
Know_252,Know_1,105
Know_308,Know_183,104
Know_308,Know_277,104
Know_31,Know_301,104
Know_46,Know_36,104
Know_308,Know_276,104
Know_47,Know_12,104
Know_50,Know_8,104
Know_217,Know_25,104
Know_308,Know_226,104
Know_308,Know_275,104
Know_36,Know_48,104
Know_8,Know_228,103
Know_8,Know_229,103
Know_337,Know_12,103
Know_336,Know_12,103
Know_8,Know_227,103
Know_46,Know_29,103
Know_12,Know_47,103
Know_1,Know_191,102
Know_48,Know_65,102
Know_337,Know_183,102
Know_336,Know_183,102
Know_336,Know_277,102
Know_337,Know_277,102
Know_29,Know_301,102
Know_336,Know_276,102
Know_337,Know_276,102
Know_55,Know_3,102
Know_54,Know_3,102
Know_48,Know_66,102
Know_337,Know_226,102
Know_336,Know_226,102
Know_336,Know_275,102
Know_337,Know_275,102
Know_94,Know_30,101
Know_68,Know_301,101
Know_337,Know_36,101
Know_336,Know_36,101
Know_68,Know_308,101
Know_37,Know_46,101
Know_32,Know_29,101
Know_29,Know_34,101
Know_36,Know_30,100
Know_68,Know_2,100
Know_30,Know_308,100
Know_1,Know_51,100
Know_3,Know_209,100
Know_3,Know_208,100
Know_11,Know_168,100
Know_2,Know_48,100
Know_95,Know_30,99
Know_249,Know_288,99
Know_29,Know_86,99
Know_2,Know_301,99
Know_47,Know_40,99
Know_30,Know_38,99
Know_46,Know_47,99
Know_217,Know_245,98
Know_47,Know_56,98
Know_46,Know_161,98
Know_11,Know_75,98
Know_46,Know_162,98
Know_288,Know_249,98
Know_47,Know_57,98
Know_336,Know_327,97
Know_337,Know_327,97
Know_337,Know_328,97
Know_336,Know_328,97
Know_14,Know_21,97
Know_2,Know_21,97
Know_308,Know_168,97
Know_336,Know_137,97
Know_337,Know_137,97
Know_35,Know_65,96
Know_11,Know_131,96
Know_191,Know_252,96
Know_47,Know_51,96
Know_35,Know_66,96
Know_31,Know_38,96
Know_336,Know_168,96
Know_337,Know_168,96
Know_12,Know_48,96
Know_55,Know_161,95
Know_54,Know_161,95
Know_55,Know_162,95
Know_54,Know_162,95
Know_137,Know_249,95
Know_30,Know_301,94
Know_217,Know_252,94
Know_46,Know_11,94
Know_28,Know_3,94
Know_54,Know_64,93
Know_55,Know_64,93
Know_46,Know_63,93
Know_25,Know_7,93
Know_308,Know_131,92
Know_48,Know_12,92
Know_2,Know_89,92
Know_3,Know_137,92
Know_14,Know_223,91
Know_1,Know_233,91
Know_209,Know_35,91
Know_208,Know_35,91
Know_31,Know_56,91
Know_1,Know_232,91
Know_1,Know_214,91
Know_14,Know_222,91
Know_31,Know_57,91
Know_2,Know_219,90
Know_1,Know_50,90
Know_217,Know_23,90
Know_29,Know_161,90
Know_89,Know_11,90
Know_29,Know_162,90
Know_46,Know_12,90
Know_35,Know_104,90
Know_32,Know_25,90
Know_249,Know_246,89
Know_14,Know_245,89
Know_31,Know_104,89
Know_30,Know_29,89
Know_7,Know_34,89
Know_50,Know_219,88
Know_308,Know_56,88
Know_32,Know_28,88
Know_31,Know_40,88
Know_295,Know_296,88
Know_294,Know_296,88
Know_293,Know_296,88
Know_294,Know_74,88
