KnowledgeID,Knowledge Name
Know_1,application development
Know_2,programming
Know_3,algorithms
Know_4,fundamentals of java
Know_5,fundamentals of python
Know_6,web programming
Know_7,object oriented programming
Know_8,multimedia
Know_9,matlab
Know_10,c
Know_11,data analysis
Know_12,data processing
Know_13,c++
Know_14,computer network
Know_15,information retireval
Know_16,server administration
Know_17,web  design
Know_18,systems administration
Know_19,information technologies
Know_20,embedded systems
Know_21,network security
Know_22,software security
Know_23,cryptography
Know_24,operating systems security
Know_25,cybersecurity
Know_26,web protocols
Know_27,web development
Know_28,assembly language programming
Know_29,data structures
Know_30,artificial intelligence
Know_31,neural networks
Know_32,fundamentals of machine learning
Know_33,robotics
Know_34,bioinformatics
Know_35,big data
Know_36,data mining
Know_37,data collection
Know_38,formal language theory
Know_39,computer security
Know_40,system security
Know_41,microprogramming
Know_42,digital design
Know_43,computer architecture
Know_44,game development
Know_45,unity
Know_46,statistics
Know_47,advanced machine learning
Know_48,machine learning applications
Know_49,machine learning for signal processing
Know_50,information security
Know_51,distributed systems
Know_52,secure systems design
Know_53,bayesian inference
Know_54,svm
Know_55,bayesian networks
Know_56,relational database design
Know_57,database applications development
Know_58,data preprocessing
Know_59,anomaly detection
Know_60,computer graphics
Know_61,gpu
Know_62,microteaching
Know_63,computer vision
Know_64,image processing
Know_65,natural language processing
Know_66,reinforcement learning
Know_67,computing
Know_68,operating system interface
Know_69,fundamentals of probability
Know_70,system programming
Know_71,linux
Know_72,unix
Know_73,c#
Know_74,leadership
Know_75,mobile application development
Know_76,compiler design
Know_77,distributed computing
Know_78,operating systems
Know_79,open ssl
Know_80,information systems development
Know_81,software design
Know_82,object oriented software development
Know_83,advanced java
Know_84,usercentered design methods
Know_85,pervasive computing
Know_86,multithreading
Know_87,dns http dhcp icmp vpns multicast
Know_88,agile
Know_89,career development
Know_90,project development
Know_91,web  development
Know_92,intelligent systems
Know_93,innovation
Know_94,system architecture
Know_95,software development
Know_96,systems programming
Know_97,computing ecosystem
Know_98,sensor mechanisms
Know_99,internet of things iot
Know_100,cloud systems
