CourseID,Description
CSCI-A110,Basic principles of computers and software. Social and lifestyle effects of information technology. Emphasis on problem solving techniques. Productivity software skills are taught using real-world projects.
CSCI-A201,Fundamental programming constructs  including loops  arrays  classes and files. General problem-solving techniques. Emphasis on modular programming  user-interface design  and developing good programming style. Not intended for computer science majors.
CSCI-A202,Advanced programming techniques: user-defined functions and types  recursion vs iteration  parameter-passing mechanisms; Classic abstract data types and algorithms. Programming style. Object-oriented programming. Web programming.
CSCI-A216,In-depth introduction to the technologies of digital hardware and software relevant to efficient multimedia communication methods. Lectures focus on computational foundations  underlying concepts  and digital methods. Laboratory provides direct experience with concepts presented in lecture  using latest available digital tools to create direct and web-based multimedia content. Lecture and laboratory.
CSCI-A290,Exploration of topics in computing.  Common topics include tools for power users.
CSCI-A338,Introduction to network principles and current network technology  both hardware and software. Network administration tools techniques. Laboratory provides practical experience.
CSCI-A538,Introduction to network principles and current network technology  both hardware and software. Network administration tools and techniques. Laboratory provides practical experience.
CSCI-A541,A high-level introduction to the many information technologies that underlie modern society for students with non-technical backgrounds.  Examples include basic ideas in computing  networking  embedded systems  GPS  SCADA   algorithms and machine learning. After completion  students should be able to partake in many high-level discussions with technical leads.
CSCI-A590,Eight-week course designed to provide foundations for using modern programming tools for applications and web development.
CSCI-A591,A first course in computer science for those intending to take advanced computer science courses. Introduction to programming and to algorithm design and analysis. Using the Scheme programming language  the course covers several programming paradigms. Lecture and laboratory.
CSCI-A592,Design of computer software systems and introduction to programming. Topics include the C++ programming language and its data structure facilities: building and maintaining large projects: shell tools and system calls. Introduction to object-oriented programming. Lecture and laboratory.
CSCI-A593,Structure and internal operation of computers. The architecture and assembly language programming of a specific computer are stressed  in addition to general principles of hardware organization and low-level software systems. Lecture and laboratory.
CSCI-A594,Systematic study of data structures encountered in computing problems; structure and use of storage media; methods of representing structured data; and techniques for operating on data structures. Lecture and laboratory.
CSCI-A596,Systematic approach to programming languages. Relationships among languages  properties and features of languages  and the computer environment necessary to use languages. Lecture and laboratory.
CSCI-A597,Fundamental programming constructs  including loops  arrays  classes  and files. General problem-solving techniques. Emphasis on modular programming  user-interface design  and developing good programming style. Not intended for computer science majors.
