QuestionID,Question,Difficulty,Answer
Ques_1,What is Data Science?,Easy,Data science continues to evolve as one of the most promising and in-demand career paths for skilled professionals. Today  successful data professionals understand that they must advance past the traditional skills of analyzing large amounts of data  data mining  and programming skills. In order to uncover useful intelligence for their organizations  data scientists must master the full spectrum of the data science life cycle and possess a level of flexibility and understanding to maximize returns at each phase of the process.
Ques_2,What is the differences between supervised and unsupervised learning.,Easy,Supervised learning and Unsupervised learning are machine learning tasks. Supervised learning is simply a process of learning algorithm from the training dataset. Supervised learning is where you have input variables and an output variable and you use an algorithm to learn the mapping function from the input to the output. The aim is to approximate the mapping function so that when we have new input data we can predict the output variables for that data. Unsupervised learning is modeling the underlying or hidden structure or distribution in the data in order to learn more about the data. Unsupervised learning is where you only have input data and no corresponding output variables.
Ques_3,What are the important skills to have in Python with regard to data analysis?,Medium,The following are some of the important skills to possess which will come handy when performing data analysis using Python. Good understanding of the built-in data types especially lists  dictionaries  tuples  and sets. Mastery of N-dimensional NumPy Arrays. Mastery of Pandas dataframes. Ability to perform element-wise vector and matrix operations on NumPy arrays. Knowing that you should use the Anaconda distribution and the conda package manager. Familiarity with Scikit-learn. **Scikit-Learn Cheat Sheet** Ability to write efficient list comprehensions instead of traditional for loops. Ability to write small  clean functions (important for any developer)  preferably pure functions that donâ€™t alter objects. Knowing how to profile the performance of a Python script and how to optimize bottlenecks. The following will help to tackle any problem in data analytics and machine learning.
Ques_4,What is Selection Bias?,Easy,Selection bias is a kind of error that occurs when the researcher decides who is going to be studied. It is usually associated with research where the selection of participants isnâ€™t random. It is sometimes referred to as the selection effect. It is the distortion of statistical analysis  resulting from the method of collecting samples. If the selection bias is not taken into account  then some conclusions of the study may not be accurate.  
Ques_5,What is the goal of A/B Testing?,Medium,It is a statistical hypothesis testing for a randomized experiment with two variables A and B. The goal of A/B Testing is to identify any changes to the web page to maximize or increase the outcome of an interest. A/B testing is a fantastic method for figuring out the best online promotional and marketing strategies for your business. It can be used to test everything from website copy to sales emails to search ads An example of this could be identifying the click-through rate for a banner ad.
Ques_6,What do you understand by statistical power of sensitivity and how do you calculate it?,Hard,Sensitivity is commonly used to validate the accuracy of a classifier (Logistic  SVM  Random Forest etc.). Sensitivity is nothing but â€œPredicted True events/ Total eventsâ€. True events here are the events which were true and model also predicted them as true. Calculation of seasonality is pretty straightforward. Seasonality = ( True Positives ) / ( Positives in Actual Dependent Variable )
Ques_7,What are the differences between overfitting and underfitting?,Easy,In statistics and machine learning  one of the most common tasks is to fit a model to a set of training data  so as to be able to make reliable predictions on general untrained data. In overfitting  a statistical model describes random error or noise instead of the underlying relationship. Overfitting occurs when a model is excessively complex  such as having too many parameters relative to the number of observations. A model that has been overfit has poor predictive performance  as it overreacts to minor fluctuations in the training data. Underfitting occurs when a statistical model or machine learning algorithm cannot capture the underlying trend of the data. Underfitting would occur  for example  when fitting a linear model to non-linear data. Such a model too would have poor predictive performance.
Ques_8,How does data cleaning plays a vital role in analysis?,Easy,Data cleaning can help in analysis because: Cleaning data from multiple sources helps to transform it into a format that data analysts or data scientists can work with. Data Cleaning helps to increase the accuracy of the model in machine learning. It is a cumbersome process because as the number of data sources increases  the time taken to clean the data increases exponentially due to the number of sources and the volume of data generated by these sources. It might take up to 80% of the time for just cleaning data making it a critical part of analysis task.
Ques_9,Differentiate between univariate  bivariate and multivariate analysis.,Medium,Univariate analyses are descriptive statistical analysis techniques which can be differentiated based on the number of variables involved at a given point of time. For example  the pie charts of sales based on territory involve only one variable and can the analysis can be referred to as univariate analysis. The bivariate analysis attempts to understand the difference between two variables at a time as in a scatterplot. For example  analyzing the volume of sale and spending can be considered as an example of bivariate analysis. Multivariate analysis deals with the study of more than two variables to understand the effect of variables on the responses.
Ques_10,What is Cluster Sampling?,Medium,Cluster sampling is a technique used when it becomes difficult to study the target population spread across a wide area and simple random sampling cannot be applied. Cluster Sample is a probability sample where each sampling unit is a collection or cluster of elements. For eg.  A researcher wants to survey the academic performance of high school students in Japan. He can divide the entire population of Japan into different clusters (cities). Then the researcher selects a number of clusters depending on his research through simple or systematic random sampling.
Ques_11,What are Eigenvectors and Eigenvalues?,Hard,Eigenvectors are used for understanding linear transformations. In data analysis  we usually calculate the eigenvectors for a correlation or covariance matrix. Eigenvectors are the directions along which a particular linear transformation acts by flipping  compressing or stretching. Eigenvalue can be referred to as the strength of the transformation in the direction of eigenvector or the factor by which the compression occurs.
Ques_12,Can you cite some examples where a false positive is important than a false negative?,Medium,False Positives are the cases where you wrongly classified a non-event as an event a.k.a Type I error. False Negatives are the cases where you wrongly classify events as non-events  a.k.a Type II error. Example 1: In the medical field  assume you have to give chemotherapy to patients. Assume a patient comes to that hospital and he is tested positive for cancer  based on the lab prediction but he actually doesnâ€™t have cancer. This is a case of false positive. Here it is of utmost danger to start chemotherapy on this patient when he actually does not have cancer. In the absence of cancerous cell  chemotherapy will do certain damage to his normal healthy cells and might lead to severe diseases  even cancer. Example 2: Letâ€™s say an e-commerce company decided to give $1000 Gift voucher to the customers whom they assume to purchase at least $10 000 worth of items. They send free voucher mail directly to 100 customers without any minimum purchase condition because they assume to make at least 20% profit on sold items above $10 000. Now the issue is if we send the $1000 gift vouchers to customers who have not actually purchased anything but are marked as having made $10 000 worth of purchase.
Ques_13,Can you explain the difference between a Validation Set and a Test Set?,Medium,A Validation set can be considered as a part of the training set as it is used for parameter selection and to avoid overfitting of the model being built. On the other hand  a Test Set is used for testing or evaluating the performance of a trained machine learning model. In simple terms  the differences can be summarized as; training set is to fit the parameters i.e. weights and test set is to assess the performance of the model i.e. evaluating the predictive power and generalization.
Ques_14,Explain cross-validation,Easy,Cross-validation is a model validation technique for evaluating how the outcomes of statistical analysis will generalize to an Independent dataset. Mainly used in backgrounds where the objective is forecast and one wants to estimate how accurately a model will accomplish in practice. The goal of cross-validation is to term a data set to test the model in the training phase (i.e. validation data set) in order to limit problems like overfitting and get an insight on how the model will generalize to an independent data set.
