From SkillID,To KnowledgeID,Score
Skill_786,Know_179,1.17
Skill_786,Know_90,1.17
Skill_62,Know_108,1.32
Skill_5891,Know_294,1.99
Skill_5891,Know_219,1.99
Skill_5891,Know_300,1.42
Skill_6140,Know_331,1.17
Skill_6140,Know_312,1.17
Skill_5099,Know_265,1.17
Skill_872,Know_51,1.96
Skill_1841,Know_234,1.38
Skill_1841,Know_124,1.1
Skill_2992,Know_276,1.3
Skill_190,Know_263,2.25
Skill_190,Know_198,2.25
Skill_190,Know_321,2.25
Skill_190,Know_326,2.25
Skill_190,Know_314,2.25
Skill_3410,Know_296,3.76
Skill_4570,Know_298,3.9
Skill_100,Know_302,1.3
Skill_1653,Know_226,1.29
Skill_2286,Know_234,1.42
Skill_2286,Know_18,1.24
Skill_2286,Know_16,1.24
Skill_1433,Know_1,2.32
Skill_1433,Know_27,1.93
Skill_1433,Know_75,2.32
Skill_165,Know_149,1.54
Skill_1746,Know_254,1.98
Skill_1746,Know_57,3.32
Skill_1746,Know_56,1.98
Skill_1746,Know_189,1.98
Skill_2082,Know_16,1.17
Skill_2082,Know_18,1.17
Skill_3847,Know_210,1.29
Skill_3020,Know_7,1.45
Skill_3020,Know_41,1.45
Skill_3020,Know_28,1.45
Skill_3020,Know_6,1.45
Skill_3020,Know_96,1.45
Skill_3020,Know_70,1.45
Skill_3020,Know_2,1.45
Skill_2580,Know_41,1.45
Skill_2580,Know_70,1.45
Skill_2580,Know_28,1.45
Skill_2580,Know_6,1.45
Skill_2580,Know_96,1.45
Skill_2580,Know_2,1.45
Skill_2580,Know_7,1.45
Skill_415,Know_73,5.83
Skill_415,Know_13,5.83
Skill_3715,Know_215,1.3
Skill_3794,Know_56,1.53
Skill_3794,Know_254,1.53
Skill_3794,Know_57,1.53
Skill_3794,Know_189,1.53
Skill_1893,Know_49,3.34
Skill_1893,Know_47,3.34
Skill_1893,Know_259,3.34
Skill_1893,Know_32,3.34
Skill_1893,Know_48,3.34
Skill_2028,Know_144,1.24
Skill_2028,Know_151,1.24
Skill_696,Know_303,1.88
Skill_3394,Know_163,1.17
Skill_2617,Know_203,1.13
Skill_2617,Know_179,1.41
Skill_2617,Know_226,1.41
Skill_2617,Know_197,1.41
Skill_3509,Know_125,1.17
Skill_28,Know_288,3.87
Skill_28,Know_233,3.87
Skill_28,Know_249,3.87
Skill_4564,Know_163,1.24
Skill_4564,Know_130,1.42
Skill_649,Know_130,1.3
Skill_3902,Know_189,1.53
Skill_3902,Know_56,1.53
Skill_3902,Know_57,1.53
Skill_3902,Know_254,1.53
Skill_4200,Know_303,1.14
Skill_167,Know_215,3.11
Skill_167,Know_193,3.11
Skill_167,Know_236,3.11
Skill_167,Know_102,3.11
Skill_167,Know_231,3.11
Skill_167,Know_178,3.11
Skill_1785,Know_266,1.35
Skill_3962,Know_345,4.04
Skill_2012,Know_245,4.59
Skill_4140,Know_77,1.15
Skill_4140,Know_70,1.73
Skill_4140,Know_111,1.15
Skill_4140,Know_2,1.73
Skill_4140,Know_7,1.73
Skill_4140,Know_51,1.15
Skill_4140,Know_6,1.73
Skill_4140,Know_41,1.73
Skill_4140,Know_96,1.73
Skill_4140,Know_277,1.15
Skill_4140,Know_28,1.73
Skill_4322,Know_219,1.1
Skill_4322,Know_294,1.1
Skill_5064,Know_6,1.45
Skill_5064,Know_41,1.45
Skill_5064,Know_96,1.45
Skill_5064,Know_70,1.45
Skill_5064,Know_28,1.45
Skill_5064,Know_7,1.45
Skill_5064,Know_2,1.45
Skill_2059,Know_23,6.23
Skill_3296,Know_288,2.66
Skill_3296,Know_249,2.66
Skill_218,Know_296,1.1
Skill_182,Know_18,1.24
Skill_182,Know_16,1.24
Skill_182,Know_300,1.42
Skill_3688,Know_69,1.3
Skill_5280,Know_226,1.25
Skill_5280,Know_179,1.25
Skill_5280,Know_197,1.25
Skill_648,Know_300,5.51
Skill_6110,Know_300,1.3
Skill_4442,Know_98,1.3
Skill_5449,Know_303,1.88
Skill_107,Know_68,2.91
Skill_616,Know_246,1.3
Skill_4312,Know_66,3.9
Skill_1515,Know_340,1.17
Skill_1515,Know_147,1.17
Skill_1515,Know_135,1.17
Skill_1515,Know_85,1.17
Skill_1515,Know_282,1.17
Skill_1515,Know_131,4.13
Skill_1515,Know_284,1.17
Skill_1515,Know_170,4.13
Skill_1515,Know_119,1.17
Skill_1515,Know_159,1.17
Skill_1515,Know_114,1.17
Skill_1515,Know_283,1.17
Skill_1515,Know_100,2.14
Skill_1515,Know_97,1.17
Skill_1515,Know_146,1.17
Skill_1515,Know_77,1.17
Skill_1515,Know_67,1.17
Skill_1515,Know_343,1.17
Skill_1515,Know_162,1.17
Skill_1515,Know_145,1.17
Skill_1515,Know_103,2.14
Skill_1906,Know_302,1.3
Skill_3214,Know_300,1.52
Skill_3973,Know_317,1.54
Skill_189,Know_95,1.92
Skill_189,Know_82,1.92
Skill_1711,Know_1,1.31
Skill_1711,Know_75,1.31
Skill_4567,Know_130,1.38
Skill_4567,Know_300,1.38
Skill_5256,Know_88,1.29
Skill_5256,Know_179,2.58
Skill_3336,Know_28,1.76
Skill_335,Know_81,1.11
Skill_335,Know_151,1.2
Skill_335,Know_82,1.11
Skill_335,Know_144,1.2
Skill_335,Know_95,1.11
Skill_673,Know_303,2.19
Skill_1495,Know_350,2.63
Skill_1495,Know_292,2.63
Skill_1495,Know_350,2.63
Skill_1633,Know_183,1.3
Skill_6118,Know_352,1.1
Skill_6118,Know_154,1.1
Skill_6118,Know_121,1.1
Skill_439,Know_302,1.3
Skill_5135,Know_16,1.3
Skill_5996,Know_13,1.99
Skill_5996,Know_20,1.42
Skill_5996,Know_73,1.99
Skill_4466,Know_337,4.32
Skill_4466,Know_330,1.19
Skill_4466,Know_324,1.19
Skill_5521,Know_234,1.84
Skill_302,Know_218,1.17
Skill_302,Know_201,1.17
Skill_1400,Know_94,1.15
Skill_1400,Know_256,1.15
Skill_1400,Know_158,1.15
Skill_1400,Know_192,1.15
Skill_1400,Know_43,1.15
Skill_3512,Know_222,3.9
Skill_5448,Know_120,1.37
Skill_236,Know_81,1.15
Skill_236,Know_82,1.15
Skill_236,Know_95,1.15
Skill_1993,Know_103,1.62
Skill_1993,Know_170,1.62
Skill_1993,Know_100,1.62
Skill_1993,Know_131,1.62
Skill_5567,Know_191,1.42
Skill_1908,Know_303,1.88
Skill_1514,Know_300,1.3
Skill_2416,Know_300,1.72
Skill_2351,Know_197,1.99
Skill_4240,Know_74,2.09
Skill_1347,Know_300,1.3
Skill_5694,Know_18,1.17
Skill_5694,Know_16,1.17
Skill_499,Know_303,2.19
Skill_2740,Know_302,1.3
Skill_163,Know_275,6.23
Skill_1865,Know_131,2.24
Skill_1865,Know_170,2.24
Skill_1865,Know_100,1.16
Skill_1865,Know_103,1.16
Skill_993,Know_309,1.3
Skill_5949,Know_68,1.68
Skill_3807,Know_324,1.3
Skill_2530,Know_192,1.93
Skill_1050,Know_300,1.69
Skill_1379,Know_1,4.15
Skill_1379,Know_75,4.15
Skill_5014,Know_287,1.48
Skill_373,Know_309,1.3
Skill_2608,Know_88,2.09
Skill_4365,Know_153,1.1
Skill_4365,Know_144,1.38
Skill_4365,Know_151,1.38
Skill_3284,Know_68,1.13
Skill_2326,Know_163,5.33
Skill_2516,Know_302,1.3
Skill_75,Know_228,6.23
Skill_2429,Know_116,1.36
Skill_6068,Know_140,1.48
Skill_1556,Know_179,1.59
Skill_2884,Know_210,1.17
Skill_1395,Know_83,1.17
Skill_1395,Know_4,1.17
Skill_1196,Know_349,1.3
Skill_4014,Know_255,1.3
Skill_3946,Know_56,1.53
Skill_3946,Know_254,1.53
Skill_3946,Know_189,1.53
Skill_3946,Know_57,1.53
Skill_2550,Know_83,1.17
Skill_2550,Know_4,1.17
Skill_5739,Know_302,1.3
Skill_3814,Know_246,1.3
Skill_1405,Know_227,2.28
Skill_1405,Know_207,1.24
Skill_2727,Know_16,5.33
Skill_2727,Know_18,1.24
Skill_2085,Know_21,1.24
Skill_3786,Know_226,1.82
Skill_5906,Know_218,1.3
Skill_2124,Know_6,1.45
Skill_2124,Know_70,1.45
Skill_2124,Know_2,1.45
Skill_2124,Know_7,1.45
Skill_2124,Know_96,1.45
Skill_2124,Know_41,1.45
Skill_2124,Know_28,1.45
Skill_2820,Know_260,1.26
Skill_2820,Know_328,1.58
Skill_253,Know_235,1.26
Skill_253,Know_185,1.26
Skill_253,Know_290,1.26
Skill_253,Know_230,1.26
Skill_253,Know_289,1.26
Skill_1760,Know_230,1.31
Skill_1760,Know_289,1.31
Skill_1760,Know_235,3.92
Skill_1760,Know_290,1.31
Skill_1760,Know_185,1.31
Skill_603,Know_264,3.64
Skill_603,Know_244,3.64
Skill_5867,Know_226,1.12
Skill_5867,Know_90,1.35
Skill_5867,Know_179,4.93
Skill_5867,Know_197,1.12
Skill_2485,Know_90,1.17
Skill_2485,Know_179,1.17
Skill_265,Know_349,3.9
Skill_3910,Know_184,4.59
Skill_2102,Know_14,1.77
Skill_3036,Know_57,1.82
Skill_3036,Know_254,1.82
Skill_3036,Know_56,1.82
Skill_3036,Know_189,1.82
Skill_3036,Know_231,1.13
Skill_2526,Know_277,1.27
Skill_2526,Know_51,1.27
Skill_2526,Know_77,4.04
Skill_2526,Know_281,1.27
Skill_2526,Know_111,1.27
Skill_3924,Know_56,1.2
Skill_400,Know_28,1.9
Skill_400,Know_73,1.21
Skill_400,Know_13,1.21
Skill_4943,Know_196,1.3
Skill_4943,Know_240,1.3
Skill_2209,Know_223,1.41
Skill_2209,Know_99,1.13
Skill_1784,Know_56,1.89
Skill_5702,Know_163,1.17
Skill_2877,Know_300,1.3
Skill_743,Know_302,1.3
Skill_4824,Know_245,1.38
Skill_5102,Know_304,1.5
Skill_3209,Know_16,1.55
Skill_3209,Know_18,1.55
Skill_4718,Know_310,1.29
Skill_4718,Know_280,1.29
Skill_4718,Know_238,1.29
Skill_2967,Know_287,1.3
Skill_4529,Know_179,2.76
Skill_1863,Know_302,1.3
Skill_4186,Know_254,1.53
Skill_4186,Know_189,1.53
Skill_4186,Know_57,1.53
Skill_4186,Know_56,1.53
Skill_2732,Know_203,1.44
Skill_2166,Know_158,1.17
Skill_2166,Know_192,1.17
Skill_2166,Know_43,1.17
Skill_2166,Know_94,1.17
Skill_2166,Know_256,1.17
