SkillID,Skill Name
Skill_1,cataloguing
Skill_2,advertising mail
Skill_3,brochures
Skill_4,coaching and mentoring
Skill_5,logos
Skill_6,self motivation
Skill_7,adobe photoshop
Skill_8,adobe illustrator
Skill_9,templates
Skill_10,adobe in design
Skill_11,layouts
Skill_12,brand management
Skill_13,branding
Skill_14,advertisement
Skill_15,market research
Skill_16,campaigns
Skill_17,mock ups
Skill_18,prototyping
Skill_19,scheduling
Skill_20,graphic design
Skill_21,computer aided design
Skill_22,packaging and labeling
Skill_23,invitations
Skill_24,web banner
Skill_25,advertising
Skill_26,design layout records
Skill_27,motion graphic design
Skill_28,interaction design
Skill_29,billboards
Skill_30,adobe creative suite
Skill_31,artwork
Skill_32,agile software development
Skill_33,conceptualization
Skill_34,communication
Skill_35,presentations
Skill_36,brainstorming
Skill_37,passionate
Skill_38,brand identity
Skill_39,content management systems
Skill_40,search engine optimization
Skill_41,website wireframe
Skill_42,google analytics
Skill_43,site maps
Skill_44,user experience
Skill_45,marketing
Skill_46,time management
Skill_47,verbal communication
Skill_48,computer literacy
Skill_49,complex problem solving
Skill_50,graphic arts
Skill_51,attention to detail
Skill_52,exhibitions
Skill_53,stress management
Skill_54,web pages
Skill_55,user flows
Skill_56,websites
Skill_57,web design
Skill_58,user interface
Skill_59,illustration
Skill_60,health education
Skill_61,electronic engineering
Skill_62,information technology
Skill_63,written communication
Skill_64,team working
Skill_65,coordinating
Skill_66,positive attitude
Skill_67,quark x press design software
Skill_68,hardworking and dedicated
Skill_69,concept arts
Skill_70,merchandising
Skill_71,editorial design
Skill_72,promotional merchandise
Skill_73,press releases
Skill_74,content management
Skill_75,css
Skill_76,divi
Skill_77,digital media design
Skill_78,animation creation
Skill_79,conceptual design
Skill_80,macintosh computers
Skill_81,page layout
Skill_82,compositions
Skill_83,curriculum development
Skill_84,animations
Skill_85,training
Skill_86,retention management
Skill_87,sketching
Skill_88,adobe dreamweaver
Skill_89,storyboarding
Skill_90,creativity
Skill_91,adobe page maker
Skill_92,adobe flash
Skill_93,visual communications
Skill_94,operations
Skill_95,customer satisfaction
Skill_96,revenue growth
Skill_97,implement projects
Skill_98,adobe premiere pro
Skill_99,marketing strategies
Skill_100,microsoft windows
Skill_101,adobe acrobat
Skill_102,digital marketing
Skill_103,human resources
Skill_104,in vision
Skill_105,sketch
Skill_106,adobe experience manager
Skill_107,interface
Skill_108,microsoft excel
Skill_109,fact sheets
Skill_110,search computer science
Skill_111,leadership
Skill_112,adaptability
Skill_113,java script programming language
Skill_114,cascading style sheets css
Skill_115,user experience design ux
Skill_116,j query
Skill_117,information architecture
Skill_118,ajax programming language
Skill_119,quality management
Skill_120,email marketing
Skill_121,bigcommerce
Skill_122,magento
Skill_123,front end automobile
Skill_124,html5
Skill_125,front end software engineering
Skill_126,web publishing
Skill_127,bootstrap front end framework
Skill_128,json
Skill_129,jewelleries
Skill_130,adobe creative cloud
Skill_131,video cards
Skill_132,socks
Skill_133,floor planning
Skill_134,customer service
Skill_135,auto cad
Skill_136,sales
Skill_137,pixel perfect
Skill_138,hyper text markup language html
Skill_139,web development
Skill_140,quark x press
Skill_141,bridges
Skill_142,visualization
Skill_143,create graphic design
Skill_144,create aesthetic visualization
Skill_145,develop creative concept
Skill_146,create illustration
Skill_147,provide design solution
Skill_148,create digital design
Skill_149,social media
Skill_150,logic synthesis
Skill_151,responsive web design
Skill_152,project management software
Skill_153,marketing collateral
Skill_154,photo shooting
Skill_155,decision making
Skill_156,assertive
Skill_157,asset management
Skill_158,infographics illustration
Skill_159,cpi
Skill_160,engineer
Skill_161,product design
Skill_162,user interface design
Skill_163,workflows
Skill_164,file organization
Skill_165,advance design system
Skill_166,banner advertisement
Skill_167,analytics
Skill_168,usability
Skill_169,web analytics
Skill_170,multivariate testing
Skill_171,digital imaging
Skill_172,reports
Skill_173,refinement
Skill_174,displaying exhibition
Skill_175,microsoft access
Skill_176,online advertising
Skill_177,angular
Skill_178,syntactically awesome style sheets sass
Skill_179,color theory
Skill_180,communication strategies
Skill_181,strategic communication
Skill_182,business administration
Skill_183,change control
Skill_184,product lifecycle management
Skill_185,change management
Skill_186,word press
Skill_187,distribution business
Skill_188,project assessments
Skill_189,scrum software development
Skill_190,analysis
Skill_191,logo programming language
Skill_192,design elements and principles
Skill_193,interpersonal skills
Skill_194,retailing
Skill_195,optics
Skill_196,microsoft power point
Skill_197,presentation programs
Skill_198,product quality assurance
Skill_199,safety assurance
Skill_200,software quality assurance sqa
Skill_201,active listening
Skill_202,graphical user interface
Skill_203,computer graphics
Skill_204,drawing
Skill_205,project management
Skill_206,software development
