From SkillID,To SkillID,Count
Skill_1,Skill_2,9
Skill_1,Skill_3,12
Skill_1,Skill_25,9
Skill_2,Skill_1,9
Skill_2,Skill_3,11
Skill_2,Skill_25,10
Skill_3,Skill_1,12
Skill_3,Skill_2,11
Skill_3,Skill_5,8
Skill_3,Skill_14,8
Skill_3,Skill_25,14
Skill_3,Skill_56,12
Skill_4,Skill_6,18
Skill_4,Skill_261,175
Skill_4,Skill_111,74
Skill_4,Skill_85,47
Skill_4,Skill_205,15
Skill_4,Skill_90,12
Skill_4,Skill_220,8
Skill_4,Skill_51,10
Skill_4,Skill_49,25
Skill_4,Skill_189,11
Skill_4,Skill_32,9
Skill_4,Skill_504,9
Skill_4,Skill_94,14
Skill_4,Skill_19,38
Skill_4,Skill_263,17
Skill_4,Skill_35,11
Skill_4,Skill_658,9
Skill_4,Skill_64,9
Skill_4,Skill_1138,9
Skill_4,Skill_1449,8
Skill_4,Skill_65,19
Skill_4,Skill_280,15
Skill_4,Skill_34,34
Skill_4,Skill_226,8
Skill_4,Skill_957,7
Skill_4,Skill_62,10
Skill_4,Skill_37,10
Skill_4,Skill_190,17
Skill_4,Skill_211,11
Skill_5,Skill_3,8
Skill_5,Skill_14,8
Skill_5,Skill_20,8
Skill_5,Skill_30,7
Skill_6,Skill_4,18
Skill_6,Skill_8,7
Skill_6,Skill_7,8
Skill_6,Skill_25,10
Skill_6,Skill_37,64
Skill_6,Skill_51,231
Skill_6,Skill_53,49
Skill_6,Skill_64,120
Skill_6,Skill_65,93
Skill_6,Skill_66,26
Skill_6,Skill_68,45
Skill_6,Skill_114,15
Skill_6,Skill_90,21
Skill_6,Skill_20,9
Skill_6,Skill_34,96
Skill_6,Skill_113,11
Skill_6,Skill_193,31
Skill_6,Skill_220,115
Skill_6,Skill_46,41
Skill_6,Skill_244,56
Skill_6,Skill_49,118
Skill_6,Skill_263,42
Skill_6,Skill_277,22
Skill_6,Skill_35,21
Skill_6,Skill_435,11
Skill_6,Skill_705,11
Skill_6,Skill_62,24
Skill_6,Skill_545,19
Skill_6,Skill_364,15
Skill_6,Skill_85,19
Skill_6,Skill_48,22
Skill_6,Skill_134,35
Skill_6,Skill_635,9
Skill_6,Skill_63,27
Skill_6,Skill_47,42
Skill_6,Skill_217,21
Skill_6,Skill_19,108
Skill_6,Skill_439,12
Skill_6,Skill_94,24
Skill_6,Skill_274,9
Skill_6,Skill_548,7
Skill_6,Skill_529,7
Skill_6,Skill_329,13
Skill_6,Skill_190,36
Skill_6,Skill_344,8
Skill_6,Skill_933,9
Skill_6,Skill_742,11
Skill_6,Skill_941,8
Skill_6,Skill_743,15
Skill_6,Skill_331,9
Skill_6,Skill_283,13
Skill_6,Skill_112,14
Skill_6,Skill_957,7
Skill_6,Skill_658,16
Skill_6,Skill_750,7
Skill_6,Skill_272,21
Skill_6,Skill_136,17
Skill_6,Skill_900,13
Skill_6,Skill_716,7
Skill_6,Skill_466,19
Skill_6,Skill_745,7
Skill_6,Skill_108,30
Skill_6,Skill_348,11
Skill_6,Skill_175,20
Skill_6,Skill_504,9
Skill_6,Skill_915,30
Skill_6,Skill_446,22
Skill_6,Skill_138,8
Skill_6,Skill_261,7
Skill_6,Skill_111,35
Skill_6,Skill_449,15
Skill_6,Skill_451,23
Skill_6,Skill_32,7
Skill_6,Skill_155,12
Skill_6,Skill_484,8
Skill_6,Skill_975,13
Skill_6,Skill_226,11
Skill_6,Skill_209,9
Skill_6,Skill_172,32
Skill_6,Skill_378,16
Skill_6,Skill_400,11
Skill_6,Skill_196,10
Skill_6,Skill_2210,8
Skill_6,Skill_45,15
Skill_6,Skill_851,11
Skill_6,Skill_100,7
Skill_6,Skill_558,9
Skill_6,Skill_211,8
Skill_6,Skill_280,26
Skill_6,Skill_346,7
Skill_6,Skill_522,15
Skill_6,Skill_510,13
Skill_6,Skill_256,12
Skill_6,Skill_472,7
Skill_6,Skill_221,16
Skill_6,Skill_1060,7
Skill_6,Skill_198,14
Skill_6,Skill_636,7
Skill_7,Skill_8,73
Skill_7,Skill_10,66
Skill_7,Skill_20,20
Skill_7,Skill_25,11
Skill_7,Skill_6,8
Skill_7,Skill_30,29
Skill_7,Skill_35,9
Skill_7,Skill_51,10
Skill_7,Skill_56,8
Skill_7,Skill_88,10
Skill_7,Skill_45,10
Skill_8,Skill_7,73
Skill_8,Skill_10,61
Skill_8,Skill_6,7
Skill_8,Skill_14,7
Skill_8,Skill_35,10
Skill_8,Skill_56,8
Skill_8,Skill_25,13
Skill_8,Skill_88,12
Skill_8,Skill_45,9
Skill_8,Skill_30,27
Skill_8,Skill_20,12
Skill_9,Skill_56,9
Skill_9,Skill_51,8
Skill_9,Skill_35,8
Skill_9,Skill_172,13
Skill_10,Skill_7,66
Skill_10,Skill_8,61
Skill_10,Skill_20,13
Skill_10,Skill_30,23
Skill_10,Skill_13,7
Skill_10,Skill_35,10
Skill_10,Skill_56,7
Skill_10,Skill_25,11
Skill_10,Skill_88,8
Skill_10,Skill_45,11
Skill_11,Skill_84,7
Skill_12,Skill_56,7
Skill_13,Skill_25,7
Skill_13,Skill_10,7
Skill_13,Skill_19,7
Skill_13,Skill_20,12
Skill_13,Skill_56,7
Skill_13,Skill_114,9
Skill_13,Skill_102,7
Skill_13,Skill_45,8
Skill_14,Skill_3,8
Skill_14,Skill_5,8
Skill_14,Skill_20,8
Skill_14,Skill_8,7
Skill_14,Skill_30,7
Skill_16,Skill_25,17
Skill_16,Skill_45,19
Skill_16,Skill_102,19
Skill_16,Skill_176,7
Skill_17,Skill_18,20
Skill_17,Skill_162,7
Skill_17,Skill_58,9
Skill_17,Skill_117,7
Skill_17,Skill_44,8
Skill_17,Skill_55,7
Skill_18,Skill_17,20
Skill_18,Skill_20,31
Skill_18,Skill_28,41
Skill_18,Skill_44,50
Skill_18,Skill_58,59
Skill_18,Skill_223,7
Skill_18,Skill_215,34
Skill_18,Skill_162,30
Skill_18,Skill_234,8
Skill_18,Skill_235,7
Skill_18,Skill_124,7
Skill_18,Skill_55,24
Skill_18,Skill_117,32
Skill_18,Skill_41,18
Skill_18,Skill_168,50
Skill_18,Skill_137,8
Skill_18,Skill_245,12
Skill_18,Skill_113,15
Skill_18,Skill_32,8
Skill_18,Skill_268,16
Skill_18,Skill_115,26
Skill_18,Skill_270,14
Skill_18,Skill_271,7
Skill_18,Skill_90,11
Skill_18,Skill_263,13
Skill_18,Skill_161,9
Skill_18,Skill_114,15
Skill_18,Skill_138,7
Skill_18,Skill_189,7
Skill_18,Skill_681,8
Skill_18,Skill_255,11
Skill_19,Skill_21,23
Skill_19,Skill_13,7
Skill_19,Skill_51,118
Skill_19,Skill_134,90
Skill_19,Skill_135,12
Skill_19,Skill_136,72
Skill_19,Skill_25,10
Skill_19,Skill_198,52
Skill_19,Skill_34,207
Skill_19,Skill_219,7
Skill_19,Skill_272,57
Skill_19,Skill_274,89
Skill_19,Skill_49,162
Skill_19,Skill_94,136
Skill_19,Skill_95,20
Skill_19,Skill_466,76
Skill_19,Skill_187,29
Skill_19,Skill_470,7
