UserID,CourseID,Course Name,Choice,Ground Truth
3,CSCI-A216,DIGITAL MULTIMEDIA CONCEPTS AND TECHNOLOGIES,SA,2
3,CSCI-A338,NETWORK TECHNOLOGIES AND SYSTEMS ADMINISTRATION,NO,0
3,CSCI-A593,COMPUTER STRUCTURES,SA,2
3,CSCI-A596,PROGRAMMING LANGUAGES,D,-1
3,CSCI-B430,SECURITY FOR NETWORKED SYSTEMS,SA,2
3,CSCI-B505,APPLIED ALGORITHMS,SD,-2
3,CSCI-B546,MALWARE EPIDEMIC: THREAT AND DEFENSE,NO,0
3,CSCI-P423,COMPILERS,SD,-2
3,CSCI-P465,SOFTWARE ENGINEERING FOR INFORMATION SYSTEMS I,A,1
3,CSCI-P556,APPLIED MACHINE LEARNING,D,-1
