UserID,CourseID,Course Name,Response,Recommendation,Category
3,CSCI-A110,INTRODUCTION TO COMPUTERS AND COMPUTING,P,1,Cyber Security Analyst
3,CSCI-A216,DIGITAL MULTIMEDIA CONCEPTS AND TECHNOLOGIES,DK,1,Software Developer
3,CSCI-A338,NETWORK TECHNOLOGIES AND SYSTEMS ADMINISTRATION,K,0,Software Developer
3,CSCI-A592,INTRODUCTION TO SOFTWARE SYSTEMS,DK,1,Data Scientist
3,CSCI-A593,COMPUTER STRUCTURES,K,0,Software Developer
3,CSCI-A594,DATA STRUCTURES,P,1,Data Scientist
3,CSCI-A596,PROGRAMMING LANGUAGES,K,0,Software Developer
3,CSCI-A597,INTRODUCTION TO PROGRAMMING I,K,0,Data Scientist
3,CSCI-B392,COMPETITIVE PROGRAMMING,K,0,Cyber Security Analyst
3,CSCI-B403,INTRODUCTION TO ALGORITHM DESIGN AND ANALYSIS,DK,1,Cyber Security Analyst
3,CSCI-B430,SECURITY FOR NETWORKED SYSTEMS,K,0,Software Developer
3,CSCI-B503,ALGORITHMS DESIGN AND ANALYSIS,P,1,Data Scientist
3,CSCI-B505,APPLIED ALGORITHMS,K,0,Software Developer
3,CSCI-B546,MALWARE EPIDEMIC: THREAT AND DEFENSE,K,0,Software Developer
3,CSCI-B565,DATA MINING,P,1,Data Scientist
3,CSCI-C212,INTRODUCTION TO SOFTWARE SYSTEMS,K,0,Cyber Security Analyst
3,CSCI-H343,DATA STRUCTURES  HONORS,K,0,Cyber Security Analyst
3,CSCI-P423,COMPILERS,P,1,Software Developer
3,CSCI-P438,INTRODUCTION TO COMPUTER NETWORKS,DK,1,Data Scientist
3,CSCI-P465,SOFTWARE ENGINEERING FOR INFORMATION SYSTEMS I,K,0,Software Developer
3,CSCI-P523,PROGRAMMING LANGUAGE IMPLEMENT,P,1,Cyber Security Analyst
3,CSCI-P556,APPLIED MACHINE LEARNING,K,0,Software Developer
3,CSCI-Y793,MASTER'S SOFTWARE THESIS,DK,1,Cyber Security Analyst
3,ENGR-E312,MODERN COMPUTER ARCHITECTURE,P,1,Cyber Security Analyst
3,ENGR-E321,ADVANCED CYBERPHYSICAL SYSTEMS,K,0,Cyber Security Analyst
3,ENGR-E451,SIMULATING NANOSCALE SYSTEMS,K,0,Data Scientist
3,ENGR-E484,SCIENTIFIC VISUALIZATION,P,1,Data Scientist
3,ILS-Z571,MATERIALS FOR YOUTH,K,0,Cyber Security Analyst
3,ILS-Z636,DATA SEMANTICS,P,1,Data Scientist
3,ILS-Z642,CONTENT ANALYSIS FOR THE WEB,DK,1,Data Scientist
